public_token	condition	preferred_language	consent_answer	age_18	reside_libya	internet_regular	heard_deepfake	age_group	started_at	completed_at
0f300673-7e12-4c8a-9be6-a86b11ae5fee	strong	en	yes	yes	yes	yes	no	25-34	2026-03-27T23:33:45.451530	2026-03-27T23:41:12.451530
18704d53-d584-4fd8-9c2a-f2737629fa8e	informational	en	yes	yes	yes	yes	no	25-34	2026-03-27T09:37:17.451530	2026-03-27T09:44:43.451530
6887e6d2-bef2-4752-a097-acbd6e767684	minimalist	ar	yes	yes	yes	yes	no	18-24	2026-03-28T11:12:19.451530	2026-03-28T11:19:20.451530
56ddfaac-ae61-4a19-8f2b-90a0324f13cf	control	en	yes	yes	yes	yes	yes	35-44	2026-03-28T15:52:00.451530	2026-03-28T15:55:28.451530
20279398-6a8e-42b0-bf98-fa2c1a90a698	strong	ar	yes	yes	yes	yes	yes	18-24	2026-03-27T21:49:01.451530	2026-03-27T21:57:46.451530
d926176c-a904-49fc-9ddb-a0e7e3f96c3c	informational	ar	yes	yes	yes	yes	yes	35-44	2026-03-28T08:56:59.451530	2026-03-28T09:03:24.451530
bde80b4e-c0b8-447b-a066-d6efe496f8b3	minimalist	en	yes	yes	yes	yes	no	18-24	2026-03-28T23:18:12.451530	2026-03-28T23:24:53.451530
15b30b4f-5450-4118-bef1-8e2f7c2e231e	control	en	yes	yes	yes	yes	no	18-24	2026-03-27T17:43:21.451530	2026-03-27T17:52:58.451530
16c23516-b2a6-4fe6-a7a8-a2782fd3647a	strong	ar	yes	yes	yes	yes	yes	18-24	2026-03-27T19:33:25.451530	2026-03-27T19:36:00.451530
e462e013-b9f1-4f1e-9a81-21cb7b3d1b30	informational	en	yes	yes	yes	yes	yes	35-44	2026-03-28T21:41:05.451530	2026-03-28T21:45:28.451530
6cb21852-5502-437c-a32b-b4afc9784699	minimalist	en	yes	yes	yes	yes	no	18-24	2026-03-28T14:10:45.451530	2026-03-28T14:20:30.451530
9158b0cc-5dcc-41c1-98c1-b15292370caa	control	ar	yes	yes	yes	yes	yes	25-34	2026-03-28T10:17:55.451530	2026-03-28T10:27:12.451530
c21de8d4-2dae-46c4-9780-ac7d41378177	strong	en	yes	yes	yes	yes	yes	35-44	2026-03-27T22:56:18.451530	2026-03-27T23:06:17.451530
93af2709-6bc6-4717-81b6-2e8dacb0b3a4	informational	en	yes	yes	yes	yes	yes	25-34	2026-03-27T10:41:38.451530	2026-03-27T10:47:28.451530
f93e44e5-a841-4b10-bcaf-7366ba7e4396	minimalist	en	yes	yes	yes	yes	yes	35-44	2026-03-28T18:27:19.451530	2026-03-28T18:36:01.451530
0418cfec-60fa-4a35-87d8-cb9adc913c86	control	en	yes	yes	yes	yes	yes	18-24	2026-03-27T10:48:19.451530	2026-03-27T10:56:49.451530
c41498ed-dbf6-4ce6-9e98-f881ffbc113d	strong	en	yes	yes	yes	yes	yes	25-34	2026-03-28T15:37:09.451530	2026-03-28T15:45:51.451530
e302a706-eb06-4e69-a016-e1640535a737	informational	en	yes	yes	yes	yes	no	25-34	2026-03-28T12:29:42.451530	2026-03-28T12:38:34.451530
b98fdea9-1469-4361-ad1e-0431b12fd9a9	minimalist	ar	yes	yes	yes	yes	no	35-44	2026-03-28T09:37:12.451530	2026-03-28T09:43:51.451530
38fdd192-cb3f-44df-bb46-f29d8bc9305f	control	en	yes	yes	yes	yes	no	25-34	2026-03-28T18:06:22.451530	2026-03-28T18:08:51.451530
5d55ecbb-7f7c-4850-b1ec-0ca6a7434250	strong	ar	yes	yes	yes	yes	yes	18-24	2026-03-27T20:21:33.451530	2026-03-27T20:30:50.451530
87401b9f-4f5d-414e-8999-dfdfd7295711	informational	en	yes	yes	yes	yes	yes	25-34	2026-03-28T17:20:22.451530	2026-03-28T17:27:26.451530
b3d0876a-ca67-49e6-b961-899d7805b6bf	minimalist	en	yes	yes	yes	yes	no	35-44	2026-03-28T14:36:14.451530	2026-03-28T14:45:20.451530
7a6d784d-9c98-42df-a7e0-89dd63b1d1e9	control	ar	yes	yes	yes	yes	yes	35-44	2026-03-28T10:17:31.451530	2026-03-28T10:24:08.451530
aadb9df1-6638-4245-ac78-15e2e910518d	strong	en	yes	yes	yes	yes	no	18-24	2026-03-28T21:32:08.451530	2026-03-28T21:38:48.451530
c53e8058-11c6-4c10-896c-44d67456f128	informational	ar	yes	yes	yes	yes	yes	25-34	2026-03-27T16:29:30.451530	2026-03-27T16:31:43.451530
e7ab271b-aacd-48a9-9129-37739b05e43c	minimalist	ar	yes	yes	yes	yes	yes	25-34	2026-03-27T23:16:49.451530	2026-03-27T23:22:36.451530
0c04aa87-0d72-4175-ad9f-ff2912481b66	control	en	yes	yes	yes	yes	no	18-24	2026-03-27T10:37:46.451530	2026-03-27T10:45:50.451530
f28c1497-2868-4d01-a9ef-3b62a6f31cfb	strong	ar	yes	yes	yes	yes	no	25-34	2026-03-27T12:59:02.451530	2026-03-27T13:06:28.451530
e11c3c7d-8f16-455b-be3e-2cf12758cc80	informational	en	yes	yes	yes	yes	no	25-34	2026-03-28T10:19:51.451530	2026-03-28T10:27:15.451530
903e7a1d-e98a-47b2-a6ee-7160a61b3b7b	minimalist	en	yes	yes	yes	yes	no	25-34	2026-03-27T09:25:56.451530	2026-03-27T09:33:26.451530
4eea11ed-dbe5-4267-885e-98ba2c4badcc	control	ar	yes	yes	yes	yes	no	18-24	2026-03-28T20:20:40.451530	2026-03-28T20:28:04.451530
f848d75c-271c-441c-a598-258f058be957	strong	ar	yes	yes	yes	yes	yes	35-44	2026-03-27T20:06:05.451530	2026-03-27T20:11:54.451530
9f7b20d2-bd1d-4526-b44e-fa2ad917e457	informational	ar	yes	yes	yes	yes	yes	25-34	2026-03-28T11:16:03.451530	2026-03-28T11:23:36.451530
27ff2285-2157-42fa-9e08-91ab72411ed8	minimalist	ar	yes	yes	yes	yes	yes	25-34	2026-03-28T11:37:49.451530	2026-03-28T11:45:49.451530
ba7ce8dc-6518-4174-8917-f628d512780f	control	en	yes	yes	yes	yes	yes	18-24	2026-03-28T13:07:28.451530	2026-03-28T13:15:08.451530
ef46e5e4-c35b-42bf-b476-c0edf0457778	strong	ar	yes	yes	yes	yes	yes	18-24	2026-03-28T18:44:04.451530	2026-03-28T18:49:43.451530
90a8e5fc-93f1-44cb-bc09-a1b13982ccb8	informational	ar	yes	yes	yes	yes	no	25-34	2026-03-28T16:31:04.451530	2026-03-28T16:39:58.451530
b10ca927-ab31-467d-83b8-83189ce8cd62	minimalist	ar	yes	yes	yes	yes	yes	25-34	2026-03-28T11:49:52.451530	2026-03-28T11:55:33.451530
780e5897-4038-4eed-83a7-445d0f42c360	control	ar	yes	yes	yes	yes	yes	18-24	2026-03-27T08:11:41.451530	2026-03-27T08:19:33.451530
0c82a5c8-229f-486d-a49c-260bb8028517	strong	en	yes	yes	yes	yes	no	25-34	2026-03-28T21:27:30.451530	2026-03-28T21:30:23.451530
888c56cd-7c79-44e8-959b-e4377b59c996	informational	en	yes	yes	yes	yes	no	18-24	2026-03-28T16:29:34.451530	2026-03-28T16:33:48.451530
a8d4032c-adb6-4eba-90bd-1f2482dc2839	minimalist	ar	yes	yes	yes	yes	no	35-44	2026-03-28T16:44:16.451530	2026-03-28T16:53:37.451530
41392497-d326-44fd-a412-3eec8f472e93	control	ar	yes	yes	yes	yes	yes	18-24	2026-03-28T12:40:59.451530	2026-03-28T12:46:57.451530
620cf029-e5e1-4703-8ccc-9cb9c6da8547	strong	ar	yes	yes	yes	yes	yes	18-24	2026-03-27T21:21:06.451530	2026-03-27T21:29:01.451530
951c01ff-2d3d-4f18-991b-ffed5fe49ffe	informational	ar	yes	yes	yes	yes	no	25-34	2026-03-27T15:42:20.451530	2026-03-27T15:46:54.451530
c00e526e-4e21-4d6f-863f-7ae1c633f7a6	minimalist	en	yes	yes	yes	yes	yes	25-34	2026-03-27T10:56:39.451530	2026-03-27T11:01:36.451530
62421129-d1bb-43bc-851f-65ea56b28695	control	ar	yes	yes	yes	yes	yes	25-34	2026-03-28T22:40:19.451530	2026-03-28T22:45:49.451530
198b5a7a-e645-4540-920a-68050102c8e4	strong	ar	yes	yes	yes	yes	yes	25-34	2026-03-27T13:21:26.451530	2026-03-27T13:30:55.451530
2c201914-f5a2-40fb-bbad-a41e0e251cdb	informational	ar	yes	yes	yes	yes	yes	25-34	2026-03-28T09:51:11.451530	2026-03-28T09:59:37.451530
