participant_token	step_index	video_key	actual_source	condition	seen_label	real_or_fake	answer_is_correct	ai_likelihood	confidence_probability	q_uncertainty_question	uncertainty_level	information_credibility	trust_label	trust_platform	decision_time_ms	video_watch_ratio_percent	pause_count	rewatch_count	hesitation_score	recorded_at
0f300673-7e12-4c8a-9be6-a86b11ae5fee	1	video_1	AI	strong	TRUE	fake	TRUE	5	60	How uncertain are you?	4	4	5	5	7000	86	4	1	15.00	2026-03-27T23:36:34.451530
0f300673-7e12-4c8a-9be6-a86b11ae5fee	2	video_2	AI	strong	TRUE	fake	TRUE	5	73	How uncertain are you?	2	5	5	5	23606	67	5	1	33.11	2026-03-27T23:37:05.451530
0f300673-7e12-4c8a-9be6-a86b11ae5fee	3	video_3	real	strong	TRUE	fake	FALSE	1	78	How uncertain are you?	3	3	4	4	3513	79	2	2	10.51	2026-03-27T23:37:05.451530
0f300673-7e12-4c8a-9be6-a86b11ae5fee	4	video_4	real	strong	TRUE	real	TRUE	3	74	How uncertain are you?	2	4	5	5	14310	72	2	1	19.31	2026-03-27T23:38:06.451530
18704d53-d584-4fd8-9c2a-f2737629fa8e	1	video_1	AI	informational	TRUE	real	FALSE	5	92	How uncertain are you?	2	6	5	4	8375	87	5	0	15.88	2026-03-27T09:42:01.451530
18704d53-d584-4fd8-9c2a-f2737629fa8e	2	video_2	AI	informational	TRUE	fake	TRUE	4	79	How uncertain are you?	2	6	3	3	17778	60	1	0	19.28	2026-03-27T09:38:16.451530
18704d53-d584-4fd8-9c2a-f2737629fa8e	3	video_3	real	informational	TRUE	real	TRUE	2	94	How uncertain are you?	2	4	5	3	21347	73	4	2	31.35	2026-03-27T09:46:33.451530
18704d53-d584-4fd8-9c2a-f2737629fa8e	4	video_4	real	informational	TRUE	real	TRUE	3	75	How uncertain are you?	3	3	5	5	14110	66	4	2	24.11	2026-03-27T09:45:02.451530
6887e6d2-bef2-4752-a097-acbd6e767684	1	video_1	AI	minimalist	TRUE	real	FALSE	5	90	How uncertain are you?	1	6	4	3	26992	94	5	2	38.49	2026-03-28T11:13:46.451530
6887e6d2-bef2-4752-a097-acbd6e767684	2	video_2	AI	minimalist	TRUE	fake	TRUE	4	85	How uncertain are you?	2	5	2	2	22786	64	4	1	30.79	2026-03-28T11:17:37.451530
6887e6d2-bef2-4752-a097-acbd6e767684	3	video_3	real	minimalist	TRUE	fake	FALSE	2	87	How uncertain are you?	2	6	3	4	6739	87	1	1	10.24	2026-03-28T11:20:04.451530
6887e6d2-bef2-4752-a097-acbd6e767684	4	video_4	real	minimalist	TRUE	fake	FALSE	2	99	How uncertain are you?	3	6	4	2	4286	91	1	1	7.79	2026-03-28T11:21:22.451530
56ddfaac-ae61-4a19-8f2b-90a0324f13cf	1	video_1	AI	control		real	FALSE	5	79	How uncertain are you?	3	4			15628	83	2	0	18.63	2026-03-28T16:00:46.451530
56ddfaac-ae61-4a19-8f2b-90a0324f13cf	2	video_2	AI	control		fake	TRUE	3	81	How uncertain are you?	2	3			11035	63	3	2	19.54	2026-03-28T15:57:49.451530
56ddfaac-ae61-4a19-8f2b-90a0324f13cf	3	video_3	real	control		real	TRUE	3	81	How uncertain are you?	3	6			9714	88	1	1	13.21	2026-03-28T15:55:52.451530
56ddfaac-ae61-4a19-8f2b-90a0324f13cf	4	video_4	real	control		fake	FALSE	2	84	How uncertain are you?	3	3			24877	66	1	1	28.38	2026-03-28T15:53:06.451530
20279398-6a8e-42b0-bf98-fa2c1a90a698	1	video_1	AI	strong	TRUE	fake	TRUE	4	89	How uncertain are you?	3	5	5	5	21705	71	1	2	27.20	2026-03-27T21:52:03.451530
20279398-6a8e-42b0-bf98-fa2c1a90a698	2	video_2	AI	strong	TRUE	fake	TRUE	3	88	How uncertain are you?	3	5	5	5	5782	95	2	1	10.78	2026-03-27T21:57:21.451530
20279398-6a8e-42b0-bf98-fa2c1a90a698	3	video_3	real	strong	TRUE	fake	FALSE	2	75	How uncertain are you?	1	3	4	5	5544	80	2	0	8.54	2026-03-27T21:57:52.451530
20279398-6a8e-42b0-bf98-fa2c1a90a698	4	video_4	real	strong	TRUE	real	TRUE	3	74	How uncertain are you?	1	4	5	4	17823	74	1	2	23.32	2026-03-27T21:58:14.451530
d926176c-a904-49fc-9ddb-a0e7e3f96c3c	1	video_1	AI	informational	TRUE	real	FALSE	3	85	How uncertain are you?	1	5	3	3	25608	95	5	2	37.11	2026-03-28T09:05:01.451530
d926176c-a904-49fc-9ddb-a0e7e3f96c3c	2	video_2	AI	informational	TRUE	real	FALSE	5	68	How uncertain are you?	5	5	3	3	11671	90	4	1	19.67	2026-03-28T09:01:39.451530
d926176c-a904-49fc-9ddb-a0e7e3f96c3c	3	video_3	real	informational	TRUE	real	TRUE	1	74	How uncertain are you?	2	5	5	4	19235	61	4	0	25.23	2026-03-28T09:03:12.451530
d926176c-a904-49fc-9ddb-a0e7e3f96c3c	4	video_4	real	informational	TRUE	real	TRUE	1	71	How uncertain are you?	3	4	4	4	22128	89	1	2	27.63	2026-03-28T09:03:44.451530
bde80b4e-c0b8-447b-a066-d6efe496f8b3	1	video_1	AI	minimalist	TRUE	fake	TRUE	4	82	How uncertain are you?	3	6	3	2	5749	96	5	1	15.25	2026-03-28T23:26:37.451530
bde80b4e-c0b8-447b-a066-d6efe496f8b3	2	video_2	AI	minimalist	TRUE	fake	TRUE	4	83	How uncertain are you?	1	4	4	4	8813	95	3	2	17.31	2026-03-28T23:18:51.451530
bde80b4e-c0b8-447b-a066-d6efe496f8b3	3	video_3	real	minimalist	TRUE	fake	FALSE	2	94	How uncertain are you?	1	3	2	3	13733	81	0	2	17.73	2026-03-28T23:22:43.451530
bde80b4e-c0b8-447b-a066-d6efe496f8b3	4	video_4	real	minimalist	TRUE	real	TRUE	3	85	How uncertain are you?	2	4	2	4	18753	95	3	1	25.25	2026-03-28T23:20:17.451530
15b30b4f-5450-4118-bef1-8e2f7c2e231e	1	video_1	AI	control		real	FALSE	5	75	How uncertain are you?	1	4			5268	74	3	0	9.77	2026-03-27T17:47:42.451530
15b30b4f-5450-4118-bef1-8e2f7c2e231e	2	video_2	AI	control		real	FALSE	5	88	How uncertain are you?	1	5			13924	70	1	2	19.42	2026-03-27T17:46:00.451530
15b30b4f-5450-4118-bef1-8e2f7c2e231e	3	video_3	real	control		real	TRUE	3	82	How uncertain are you?	2	6			11546	67	4	2	21.55	2026-03-27T17:44:37.451530
15b30b4f-5450-4118-bef1-8e2f7c2e231e	4	video_4	real	control		fake	FALSE	3	89	How uncertain are you?	2	6			19759	66	4	1	27.76	2026-03-27T17:44:07.451530
16c23516-b2a6-4fe6-a7a8-a2782fd3647a	1	video_1	AI	strong	TRUE	fake	TRUE	4	87	How uncertain are you?	3	4	4	4	20573	77	4	1	28.57	2026-03-27T19:40:20.451530
16c23516-b2a6-4fe6-a7a8-a2782fd3647a	2	video_2	AI	strong	TRUE	fake	TRUE	5	65	How uncertain are you?	4	5	4	5	22914	97	1	1	26.41	2026-03-27T19:39:43.451530
16c23516-b2a6-4fe6-a7a8-a2782fd3647a	3	video_3	real	strong	TRUE	real	TRUE	1	67	How uncertain are you?	3	6	5	4	10218	77	3	2	18.72	2026-03-27T19:33:50.451530
16c23516-b2a6-4fe6-a7a8-a2782fd3647a	4	video_4	real	strong	TRUE	real	TRUE	2	79	How uncertain are you?	2	4	4	5	5019	97	3	0	9.52	2026-03-27T19:38:34.451530
e462e013-b9f1-4f1e-9a81-21cb7b3d1b30	1	video_1	AI	informational	TRUE	fake	TRUE	5	69	How uncertain are you?	5	6	4	5	21180	99	1	1	24.68	2026-03-28T21:49:19.451530
e462e013-b9f1-4f1e-9a81-21cb7b3d1b30	2	video_2	AI	informational	TRUE	fake	TRUE	3	72	How uncertain are you?	3	5	4	4	8362	73	4	2	18.36	2026-03-28T21:51:03.451530
e462e013-b9f1-4f1e-9a81-21cb7b3d1b30	3	video_3	real	informational	TRUE	fake	FALSE	3	83	How uncertain are you?	3	4	3	3	17365	71	3	0	21.86	2026-03-28T21:42:52.451530
e462e013-b9f1-4f1e-9a81-21cb7b3d1b30	4	video_4	real	informational	TRUE	real	TRUE	2	68	How uncertain are you?	5	3	3	3	21486	97	4	0	27.49	2026-03-28T21:44:14.451530
6cb21852-5502-437c-a32b-b4afc9784699	1	video_1	AI	minimalist	TRUE	real	FALSE	4	87	How uncertain are you?	3	4	2	3	19894	91	3	1	26.39	2026-03-28T14:15:12.451530
6cb21852-5502-437c-a32b-b4afc9784699	2	video_2	AI	minimalist	TRUE	real	FALSE	4	81	How uncertain are you?	2	6	3	2	5592	74	1	0	7.09	2026-03-28T14:16:52.451530
6cb21852-5502-437c-a32b-b4afc9784699	3	video_3	real	minimalist	TRUE	real	TRUE	1	91	How uncertain are you?	1	4	2	2	17280	77	4	2	27.28	2026-03-28T14:13:53.451530
6cb21852-5502-437c-a32b-b4afc9784699	4	video_4	real	minimalist	TRUE	real	TRUE	2	94	How uncertain are you?	2	5	4	4	15583	67	1	1	19.08	2026-03-28T14:11:00.451530
9158b0cc-5dcc-41c1-98c1-b15292370caa	1	video_1	AI	control		real	FALSE	5	95	How uncertain are you?	1	4			17569	65	2	0	20.57	2026-03-28T10:20:53.451530
9158b0cc-5dcc-41c1-98c1-b15292370caa	2	video_2	AI	control		real	FALSE	5	94	How uncertain are you?	3	3			23074	88	4	2	33.07	2026-03-28T10:21:31.451530
9158b0cc-5dcc-41c1-98c1-b15292370caa	3	video_3	real	control		real	TRUE	2	79	How uncertain are you?	1	3			17394	71	0	0	17.39	2026-03-28T10:20:53.451530
9158b0cc-5dcc-41c1-98c1-b15292370caa	4	video_4	real	control		fake	FALSE	1	81	How uncertain are you?	2	6			17769	80	1	0	19.27	2026-03-28T10:20:21.451530
c21de8d4-2dae-46c4-9780-ac7d41378177	1	video_1	AI	strong	TRUE	real	FALSE	4	60	How uncertain are you?	3	5	5	5	15203	80	3	2	23.70	2026-03-27T23:01:42.451530
c21de8d4-2dae-46c4-9780-ac7d41378177	2	video_2	AI	strong	TRUE	real	FALSE	4	71	How uncertain are you?	3	3	4	5	13772	64	1	1	17.27	2026-03-27T23:03:39.451530
c21de8d4-2dae-46c4-9780-ac7d41378177	3	video_3	real	strong	TRUE	real	TRUE	3	71	How uncertain are you?	3	6	4	4	23626	78	1	0	25.13	2026-03-27T23:05:16.451530
c21de8d4-2dae-46c4-9780-ac7d41378177	4	video_4	real	strong	TRUE	fake	FALSE	2	75	How uncertain are you?	2	4	5	5	19239	73	4	0	25.24	2026-03-27T23:03:13.451530
93af2709-6bc6-4717-81b6-2e8dacb0b3a4	1	video_1	AI	informational	TRUE	real	FALSE	5	84	How uncertain are you?	2	5	5	4	20086	94	2	0	23.09	2026-03-27T10:48:34.451530
93af2709-6bc6-4717-81b6-2e8dacb0b3a4	2	video_2	AI	informational	TRUE	fake	TRUE	3	94	How uncertain are you?	1	6	5	3	17550	84	5	1	27.05	2026-03-27T10:45:40.451530
93af2709-6bc6-4717-81b6-2e8dacb0b3a4	3	video_3	real	informational	TRUE	real	TRUE	1	75	How uncertain are you?	2	6	5	3	15095	85	4	1	23.09	2026-03-27T10:48:21.451530
93af2709-6bc6-4717-81b6-2e8dacb0b3a4	4	video_4	real	informational	TRUE	real	TRUE	1	65	How uncertain are you?	3	6	4	4	22813	94	1	2	28.31	2026-03-27T10:43:25.451530
f93e44e5-a841-4b10-bcaf-7366ba7e4396	1	video_1	AI	minimalist	TRUE	fake	TRUE	4	79	How uncertain are you?	3	5	2	3	12828	69	2	0	15.83	2026-03-28T18:30:17.451530
f93e44e5-a841-4b10-bcaf-7366ba7e4396	2	video_2	AI	minimalist	TRUE	real	FALSE	3	81	How uncertain are you?	1	4	2	4	9682	98	3	0	14.18	2026-03-28T18:34:49.451530
f93e44e5-a841-4b10-bcaf-7366ba7e4396	3	video_3	real	minimalist	TRUE	real	TRUE	1	86	How uncertain are you?	3	4	2	2	19848	83	1	2	25.35	2026-03-28T18:36:49.451530
f93e44e5-a841-4b10-bcaf-7366ba7e4396	4	video_4	real	minimalist	TRUE	real	TRUE	2	86	How uncertain are you?	2	3	2	3	10709	73	1	2	16.21	2026-03-28T18:29:24.451530
0418cfec-60fa-4a35-87d8-cb9adc913c86	1	video_1	AI	control		fake	TRUE	3	87	How uncertain are you?	2	3			17235	83	1	0	18.73	2026-03-27T10:48:32.451530
0418cfec-60fa-4a35-87d8-cb9adc913c86	2	video_2	AI	control		real	FALSE	4	76	How uncertain are you?	1	5			18196	75	1	0	19.70	2026-03-27T10:49:53.451530
0418cfec-60fa-4a35-87d8-cb9adc913c86	3	video_3	real	control		fake	FALSE	1	86	How uncertain are you?	2	6			3206	80	2	2	10.21	2026-03-27T10:57:55.451530
0418cfec-60fa-4a35-87d8-cb9adc913c86	4	video_4	real	control		real	TRUE	2	98	How uncertain are you?	1	3			11686	99	3	2	20.19	2026-03-27T10:57:31.451530
c41498ed-dbf6-4ce6-9e98-f881ffbc113d	1	video_1	AI	strong	TRUE	real	FALSE	3	88	How uncertain are you?	3	4	5	4	8825	72	4	0	14.82	2026-03-28T15:39:34.451530
c41498ed-dbf6-4ce6-9e98-f881ffbc113d	2	video_2	AI	strong	TRUE	fake	TRUE	3	75	How uncertain are you?	3	5	5	5	5994	60	4	1	13.99	2026-03-28T15:45:37.451530
c41498ed-dbf6-4ce6-9e98-f881ffbc113d	3	video_3	real	strong	TRUE	real	TRUE	3	73	How uncertain are you?	2	4	4	4	8837	67	4	0	14.84	2026-03-28T15:44:55.451530
c41498ed-dbf6-4ce6-9e98-f881ffbc113d	4	video_4	real	strong	TRUE	real	TRUE	2	61	How uncertain are you?	4	5	5	5	4683	87	0	1	6.68	2026-03-28T15:44:11.451530
